epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2438.74,3.48263,1.29755,1.73277,0.81747,0.71352,0.79304,0.46414,3.36311,1.05316,1.73082,0.008614,0.008614,0.008614
44,2495.02,3.51748,1.30693,1.73285,0.82463,0.71071,0.79578,0.47007,3.37823,1.0373,1.72701,0.008581,0.008581,0.008581
45,2551.9,3.50165,1.30164,1.73574,0.84113,0.70556,0.79277,0.46747,3.32917,1.03407,1.71906,0.008548,0.008548,0.008548
46,2608.9,3.40183,1.28155,1.72434,0.82652,0.72021,0.79649,0.46982,3.22973,1.02245,1.70195,0.008515,0.008515,0.008515
47,2666.15,3.41638,1.28572,1.71805,0.82575,0.71094,0.79382,0.4607,3.29653,1.02981,1.7226,0.008482,0.008482,0.008482
48,2722.44,3.44583,1.27488,1.71799,0.8233,0.73268,0.80225,0.46725,3.28314,1.01926,1.72611,0.008449,0.008449,0.008449
49,2778.18,3.41313,1.27595,1.71851,0.83989,0.71829,0.80486,0.47158,3.22175,1.01226,1.70613,0.008416,0.008416,0.008416
50,2833.99,3.33773,1.25556,1.69892,0.81728,0.73268,0.80293,0.47228,3.24017,1.01251,1.69648,0.008383,0.008383,0.008383
51,2889.68,3.35321,1.26408,1.70175,0.84808,0.7175,0.80206,0.47749,3.20071,1.01044,1.68999,0.00835,0.00835,0.00835
52,2945.51,3.38842,1.26757,1.71491,0.80896,0.74019,0.80224,0.47457,3.19473,1.00088,1.70428,0.008317,0.008317,0.008317
53,3002.21,3.35802,1.26096,1.70581,0.8242,0.74781,0.81277,0.47933,3.15007,0.9864,1.68729,0.008284,0.008284,0.008284
54,3059.15,3.29995,1.2476,1.69305,0.84063,0.7275,0.80873,0.4771,3.23782,0.98081,1.68986,0.008251,0.008251,0.008251
55,3115.64,3.35132,1.25301,1.69161,0.83124,0.7313,0.80863,0.47997,3.14707,0.97785,1.67567,0.008218,0.008218,0.008218
56,3171.78,3.31016,1.24286,1.69242,0.82978,0.74671,0.8119,0.48011,3.14368,0.96874,1.67818,0.008185,0.008185,0.008185
57,3227.78,3.26124,1.23347,1.68725,0.8383,0.74424,0.81208,0.48324,3.1293,0.97377,1.67535,0.008152,0.008152,0.008152
