epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2434.7,0.82764,0.9561,1.48446,0.88636,0.80998,0.87298,0.52728,0.80086,0.75054,1.46552,0.008614,0.008614,0.008614
44,2491.7,0.82641,0.96881,1.48873,0.89472,0.81564,0.8714,0.53715,0.79341,0.73997,1.45869,0.008581,0.008581,0.008581
45,2548.15,0.82839,0.96109,1.48575,0.88331,0.81822,0.87231,0.53208,0.79616,0.7381,1.44779,0.008548,0.008548,0.008548
46,2605.02,0.82803,0.94001,1.486,0.88646,0.81355,0.86804,0.53264,0.79341,0.73531,1.44983,0.008515,0.008515,0.008515
47,2661.96,0.82448,0.95066,1.48698,0.88381,0.81446,0.87191,0.52403,0.80433,0.74194,1.46245,0.008482,0.008482,0.008482
48,2718.17,0.82669,0.94243,1.47454,0.89998,0.818,0.87655,0.5346,0.79799,0.72706,1.44733,0.008449,0.008449,0.008449
49,2774.84,0.82629,0.94595,1.47443,0.89396,0.82076,0.87818,0.54262,0.78823,0.73068,1.43031,0.008416,0.008416,0.008416
50,2831.68,0.82165,0.93234,1.45953,0.89866,0.81429,0.87677,0.53897,0.7872,0.72422,1.43058,0.008383,0.008383,0.008383
51,2888.34,0.82352,0.93891,1.46752,0.88948,0.81933,0.87886,0.5529,0.78443,0.72036,1.41851,0.00835,0.00835,0.00835
52,2944.85,0.82754,0.94219,1.46946,0.89921,0.82084,0.87644,0.54332,0.78548,0.71933,1.43136,0.008317,0.008317,0.008317
53,3001.51,0.8253,0.93793,1.46636,0.8895,0.83265,0.87864,0.54061,0.78673,0.72312,1.42954,0.008284,0.008284,0.008284
54,3058.75,0.82101,0.92674,1.45698,0.89146,0.8198,0.87839,0.5382,0.7863,0.72037,1.43373,0.008251,0.008251,0.008251
55,3116.58,0.81938,0.93306,1.45311,0.87682,0.82993,0.87971,0.54471,0.78562,0.69858,1.41872,0.008218,0.008218,0.008218
56,3173.56,0.8211,0.92039,1.44979,0.89902,0.8316,0.88169,0.5432,0.7898,0.70049,1.4185,0.008185,0.008185,0.008185
57,3230.07,0.81909,0.91661,1.44736,0.90149,0.817,0.88115,0.5444,0.78695,0.69845,1.41389,0.008152,0.008152,0.008152
58,3286.53,0.82169,0.91201,1.4387,0.89338,0.8282,0.88213,0.54394,0.78792,0.70289,1.41129,0.008119,0.008119,0.008119
59,3342.88,0.81802,0.91764,1.44413,0.90651,0.83111,0.88524,0.54069,0.79016,0.7098,1.41999,0.008086,0.008086,0.008086
60,3399.54,0.81754,0.91161,1.4451,0.90163,0.8238,0.88238,0.54403,0.78403,0.70081,1.4117,0.008053,0.008053,0.008053
61,3456.83,0.82074,0.90427,1.44106,0.90417,0.82885,0.88247,0.54284,0.78488,0.69584,1.41259,0.00802,0.00802,0.00802
62,3513.39,0.81798,0.90918,1.43146,0.90293,0.8306,0.88022,0.5452,0.78095,0.69584,1.40244,0.007987,0.007987,0.007987
63,3569.33,0.8152,0.90399,1.43398,0.91394,0.82415,0.88497,0.54352,0.78656,0.70249,1.41266,0.007954,0.007954,0.007954
64,3625.55,0.81794,0.8978,1.42505,0.90422,0.82972,0.88028,0.5436,0.78452,0.69048,1.40022,0.007921,0.007921,0.007921
65,3681.63,0.8177,0.90012,1.4366,0.88964,0.84557,0.88768,0.54791,0.78349,0.68249,1.40097,0.007888,0.007888,0.007888
66,3737.77,0.8156,0.8875,1.42724,0.89455,0.83964,0.88643,0.55223,0.7779,0.68359,1.39215,0.007855,0.007855,0.007855
67,3794.04,0.8145,0.88992,1.43291,0.90767,0.82876,0.88513,0.54728,0.78184,0.68536,1.40149,0.007822,0.007822,0.007822
68,3850.49,0.81422,0.89433,1.42609,0.91546,0.82132,0.88701,0.55176,0.78167,0.68883,1.40047,0.007789,0.007789,0.007789
69,3907.35,0.81321,0.8932,1.42559,0.90849,0.8318,0.88493,0.55171,0.77996,0.68508,1.39841,0.007756,0.007756,0.007756
70,3964.41,0.8159,0.89134,1.41891,0.9018,0.83916,0.88483,0.54822,0.78089,0.68692,1.38928,0.007723,0.007723,0.007723
71,4021.04,0.8157,0.88889,1.41772,0.9094,0.83375,0.88797,0.55294,0.7816,0.68081,1.38534,0.00769,0.00769,0.00769
72,4077.41,0.81229,0.8782,1.41642,0.90421,0.83929,0.8861,0.55298,0.77958,0.67703,1.38151,0.007657,0.007657,0.007657
73,4133.85,0.81447,0.88329,1.41358,0.89302,0.83943,0.88766,0.55857,0.77695,0.67357,1.38427,0.007624,0.007624,0.007624
74,4189.76,0.80835,0.8808,1.40372,0.90491,0.83687,0.88924,0.55611,0.77823,0.67506,1.37603,0.007591,0.007591,0.007591
75,4245.5,0.81306,0.8923,1.41503,0.90236,0.83157,0.88802,0.55383,0.77571,0.67289,1.37603,0.007558,0.007558,0.007558
76,4301.48,0.81279,0.88063,1.40589,0.90087,0.84178,0.8883,0.55155,0.77987,0.6698,1.38331,0.007525,0.007525,0.007525
77,4357.74,0.81606,0.88767,1.41517,0.89996,0.84384,0.88889,0.5539,0.78067,0.66736,1.38135,0.007492,0.007492,0.007492
78,4413.73,0.81025,0.87776,1.40509,0.8913,0.84686,0.88955,0.55081,0.77989,0.67001,1.3845,0.007459,0.007459,0.007459
79,4470.34,0.8109,0.87677,1.41357,0.90218,0.84514,0.89201,0.54971,0.77574,0.66795,1.37979,0.007426,0.007426,0.007426
80,4526.75,0.81218,0.87462,1.40432,0.90459,0.84607,0.89317,0.55469,0.77772,0.66386,1.37412,0.007393,0.007393,0.007393
81,4582.89,0.8128,0.87301,1.40365,0.90178,0.84111,0.89247,0.54768,0.77994,0.66832,1.37929,0.00736,0.00736,0.00736
82,4639.62,0.80974,0.87303,1.39859,0.89339,0.84782,0.89294,0.55836,0.77777,0.66337,1.37329,0.007327,0.007327,0.007327
83,4696.33,0.8067,0.87096,1.39392,0.88995,0.84233,0.89145,0.55433,0.77441,0.66663,1.36757,0.007294,0.007294,0.007294
84,4753.26,0.80791,0.8556,1.39876,0.87942,0.86085,0.89227,0.55556,0.77391,0.6604,1.36782,0.007261,0.007261,0.007261
