epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2380.34,0.83624,0.97089,1.52163,0.88051,0.81808,0.87871,0.5282,0.80709,0.76077,1.50973,0.008614,0.008614,0.008614
44,2435.09,0.834,0.97928,1.52353,0.90001,0.79787,0.87168,0.53719,0.79764,0.74603,1.48941,0.008581,0.008581,0.008581
45,2489.88,0.83684,0.9753,1.52395,0.88778,0.81682,0.87722,0.53387,0.80168,0.74667,1.50012,0.008548,0.008548,0.008548
46,2544.88,0.83455,0.95594,1.51551,0.89003,0.80375,0.87437,0.5327,0.8019,0.73721,1.49116,0.008515,0.008515,0.008515
47,2599.56,0.83127,0.96768,1.52155,0.89391,0.82049,0.87752,0.52917,0.80782,0.74804,1.51196,0.008482,0.008482,0.008482
48,2654.06,0.835,0.9649,1.51184,0.89763,0.81076,0.87564,0.53366,0.8022,0.73876,1.48996,0.008449,0.008449,0.008449
49,2708.92,0.83279,0.95947,1.50557,0.89326,0.81378,0.87706,0.54214,0.79282,0.73859,1.46886,0.008416,0.008416,0.008416
50,2764.01,0.82765,0.94765,1.49827,0.89666,0.81007,0.87602,0.54129,0.79386,0.72973,1.48661,0.008383,0.008383,0.008383
51,2818.65,0.82974,0.95587,1.50264,0.88255,0.82203,0.87635,0.54725,0.78974,0.72311,1.4602,0.00835,0.00835,0.00835
52,2873.45,0.83409,0.9578,1.50385,0.88332,0.82802,0.87862,0.54415,0.79184,0.7196,1.47551,0.008317,0.008317,0.008317
53,2928.41,0.83246,0.94866,1.50045,0.90027,0.82513,0.88174,0.54433,0.79397,0.71847,1.46835,0.008284,0.008284,0.008284
54,2983.12,0.82894,0.94342,1.4958,0.8862,0.82673,0.8798,0.54057,0.79209,0.72522,1.47554,0.008251,0.008251,0.008251
55,3037.68,0.82785,0.95059,1.49091,0.90007,0.81693,0.88176,0.54542,0.79244,0.71365,1.45435,0.008218,0.008218,0.008218
56,3092.45,0.82717,0.9374,1.4798,0.89412,0.82862,0.88207,0.54243,0.79175,0.7072,1.45988,0.008185,0.008185,0.008185
57,3147.2,0.82512,0.92844,1.48185,0.88527,0.83352,0.88261,0.54687,0.79485,0.7068,1.4538,0.008152,0.008152,0.008152
58,3202.15,0.82849,0.92612,1.47017,0.88962,0.83121,0.87899,0.54286,0.78972,0.70066,1.44571,0.008119,0.008119,0.008119
59,3257.16,0.82526,0.9311,1.47125,0.8882,0.8379,0.8851,0.54234,0.79161,0.70303,1.45361,0.008086,0.008086,0.008086
60,3312.31,0.82462,0.92579,1.4755,0.88384,0.83964,0.8829,0.54379,0.78722,0.70625,1.44883,0.008053,0.008053,0.008053
61,3366.91,0.82759,0.91768,1.46998,0.88868,0.84111,0.88588,0.54303,0.79273,0.70184,1.45427,0.00802,0.00802,0.00802
62,3421.6,0.82502,0.92243,1.46814,0.89074,0.83527,0.88354,0.54553,0.78966,0.69764,1.44601,0.007987,0.007987,0.007987
