epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6451.93,1.41549,1.00059,1.43883,0.88335,0.80933,0.87539,0.52676,1.32098,0.76045,1.40834,0.008614,0.008614,0.008614
44,6603.1,1.41587,1.00217,1.43897,0.892,0.81137,0.87372,0.53049,1.31355,0.75733,1.41192,0.008581,0.008581,0.008581
45,6752.56,1.40146,0.97397,1.43121,0.8895,0.79964,0.86873,0.52527,1.30736,0.75491,1.39879,0.008548,0.008548,0.008548
46,6902.38,1.40695,0.99732,1.42879,0.88819,0.80837,0.86944,0.52827,1.29548,0.7429,1.39612,0.008515,0.008515,0.008515
47,7052.02,1.40426,0.99428,1.42781,0.88072,0.81777,0.87113,0.5345,1.29162,0.74295,1.397,0.008482,0.008482,0.008482
48,7199.89,1.3949,0.97516,1.42114,0.88095,0.80651,0.87225,0.53317,1.28479,0.74137,1.38442,0.008449,0.008449,0.008449
49,7350.39,1.3966,0.96677,1.41374,0.88838,0.82096,0.87751,0.53886,1.27801,0.73187,1.38271,0.008416,0.008416,0.008416
50,7501.18,1.3968,0.9727,1.41873,0.88684,0.81803,0.87539,0.53581,1.28851,0.73737,1.3843,0.008383,0.008383,0.008383
51,7651.26,1.39997,0.97569,1.4136,0.88705,0.81722,0.87678,0.53576,1.279,0.73161,1.37074,0.00835,0.00835,0.00835
52,7802.79,1.39198,0.96723,1.40695,0.89558,0.80952,0.87696,0.54112,1.28217,0.73345,1.37642,0.008317,0.008317,0.008317
53,7952.83,1.38898,0.96929,1.40253,0.88897,0.80753,0.86989,0.53702,1.28126,0.73204,1.36428,0.008284,0.008284,0.008284
54,8101.91,1.38623,0.96146,1.40395,0.88993,0.81688,0.87644,0.53013,1.29376,0.73453,1.37974,0.008251,0.008251,0.008251
55,8252.21,1.39505,0.98241,1.40696,0.893,0.82245,0.87917,0.5417,1.27567,0.71553,1.36561,0.008218,0.008218,0.008218
56,8401.06,1.38207,0.95746,1.40491,0.88315,0.82565,0.8835,0.54394,1.27574,0.71553,1.37251,0.008185,0.008185,0.008185
57,8550.59,1.38809,0.96081,1.40464,0.9002,0.81183,0.87832,0.53842,1.27071,0.72081,1.36332,0.008152,0.008152,0.008152
58,8699.69,1.37152,0.94329,1.38643,0.89448,0.82564,0.87703,0.53869,1.27845,0.71802,1.36314,0.008119,0.008119,0.008119
59,8849.81,1.37964,0.94678,1.3924,0.89831,0.81897,0.87986,0.54062,1.26967,0.7053,1.35533,0.008086,0.008086,0.008086
