epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7181,0.84067,0.95539,1.54657,0.89093,0.80363,0.87197,0.52075,0.80784,0.72703,1.51996,0.008614,0.008614,0.008614
44,7349.34,0.83951,0.95658,1.55032,0.89019,0.80086,0.86874,0.52006,0.80858,0.72749,1.5326,0.008581,0.008581,0.008581
45,7515.53,0.83533,0.9348,1.53603,0.88849,0.80004,0.86736,0.52323,0.80319,0.72068,1.49819,0.008548,0.008548,0.008548
46,7682.87,0.83712,0.95667,1.53884,0.89739,0.81118,0.87401,0.52141,0.80596,0.71817,1.51251,0.008515,0.008515,0.008515
47,7848.6,0.83628,0.95496,1.53584,0.89037,0.81035,0.87113,0.52776,0.79994,0.71697,1.50838,0.008482,0.008482,0.008482
48,8014.86,0.83563,0.93652,1.53159,0.89444,0.80712,0.8726,0.52897,0.7987,0.70842,1.4992,0.008449,0.008449,0.008449
49,8181.85,0.83479,0.92647,1.52678,0.88298,0.81141,0.87396,0.53365,0.7946,0.70523,1.48918,0.008416,0.008416,0.008416
50,8348.45,0.83542,0.92161,1.52225,0.88222,0.81444,0.87258,0.53297,0.79579,0.70822,1.48808,0.008383,0.008383,0.008383
51,8516.98,0.83626,0.92957,1.52371,0.88737,0.80829,0.86844,0.52996,0.79234,0.71002,1.47926,0.00835,0.00835,0.00835
52,8684.17,0.833,0.92091,1.51739,0.90217,0.80731,0.87448,0.53193,0.79758,0.70103,1.48935,0.008317,0.008317,0.008317
53,8851.64,0.8318,0.92592,1.51921,0.88757,0.82784,0.87921,0.53807,0.79499,0.69734,1.47704,0.008284,0.008284,0.008284
54,9017.54,0.83131,0.91276,1.51219,0.89404,0.8172,0.87425,0.52861,0.79634,0.69557,1.4831,0.008251,0.008251,0.008251
55,9185.11,0.83261,0.934,1.51427,0.89867,0.81611,0.87944,0.53656,0.79214,0.68872,1.47093,0.008218,0.008218,0.008218
56,9351.81,0.82999,0.91047,1.51125,0.89992,0.81369,0.87962,0.53527,0.79147,0.68558,1.47676,0.008185,0.008185,0.008185
57,9518.53,0.83234,0.91074,1.50323,0.90559,0.82064,0.87907,0.53454,0.79264,0.68445,1.45823,0.008152,0.008152,0.008152
58,9686.34,0.82695,0.8989,1.49364,0.8985,0.82482,0.88223,0.53691,0.79173,0.68708,1.46486,0.008119,0.008119,0.008119
59,9852.8,0.82857,0.90396,1.49843,0.89403,0.83213,0.87959,0.53584,0.78884,0.67737,1.45714,0.008086,0.008086,0.008086
60,10020.6,0.82476,0.88867,1.48554,0.89526,0.82631,0.88498,0.53863,0.789,0.67964,1.46296,0.008053,0.008053,0.008053
61,10187,0.82469,0.89938,1.48959,0.89014,0.83378,0.88327,0.53943,0.78728,0.66941,1.45753,0.00802,0.00802,0.00802
62,10354.6,0.82854,0.90217,1.49671,0.90617,0.82395,0.88258,0.53524,0.78898,0.67385,1.46292,0.007987,0.007987,0.007987
63,10521,0.82816,0.89876,1.49074,0.90549,0.82915,0.88236,0.53242,0.7933,0.67391,1.46357,0.007954,0.007954,0.007954
64,10688.8,0.82896,0.89521,1.48456,0.90209,0.83121,0.88245,0.54225,0.78832,0.66325,1.4429,0.007921,0.007921,0.007921
65,10855.2,0.82376,0.88842,1.48269,0.89902,0.83164,0.8826,0.5461,0.78889,0.66397,1.44899,0.007888,0.007888,0.007888
66,11022.5,0.82467,0.88796,1.48377,0.9045,0.82929,0.88312,0.53697,0.78742,0.66165,1.44707,0.007855,0.007855,0.007855
67,11189.6,0.82366,0.87218,1.47214,0.90888,0.8316,0.88691,0.54269,0.78719,0.65616,1.44049,0.007822,0.007822,0.007822
68,11356,0.82447,0.87216,1.47792,0.90214,0.82942,0.88615,0.53813,0.7911,0.66265,1.44797,0.007789,0.007789,0.007789
69,11523.6,0.82237,0.88738,1.48145,0.90167,0.82971,0.88835,0.54302,0.78659,0.66185,1.44239,0.007756,0.007756,0.007756
70,11691.1,0.8279,0.88516,1.47967,0.90484,0.83105,0.88867,0.54373,0.78678,0.66554,1.44243,0.007723,0.007723,0.007723
71,11858.6,0.8228,0.87714,1.46819,0.90055,0.83085,0.88661,0.54623,0.7855,0.66096,1.43371,0.00769,0.00769,0.00769
72,12024.7,0.82402,0.87793,1.46774,0.89995,0.82551,0.887,0.5449,0.78453,0.65822,1.43023,0.007657,0.007657,0.007657
